,count,unique,top,freq,mean,std,min,25%,50%,75%,max
Timestamp,54621,54621, 28/12/2015 10:29:14 AM,1,,,,,,,
FIT101,54621.0,,,,0.7880881352006921,1.176308480669312,0.0,0.0,0.0,2.457163,2.700573
LIT101,54621.0,,,,727.4177993866829,135.35917947732395,189.8263,626.003,813.0424,813.7097,925.0323
MV101,54621.0,,,,1.3065304553193826,0.46473516447277674,0.0,1.0,1.0,2.0,2.0
P101,54621.0,,,,1.2712692920305377,0.4446188057879867,1.0,1.0,1.0,2.0,2.0
P102,54621.0,,,,1.0554548616832353,0.22886803835693745,1.0,1.0,1.0,1.0,2.0
FIT301,54621.0,,,,0.6630141534368833,1.0048550317246323,0.0,0.0,0.0,2.197739,2.351984
LIT301,54621.0,,,,964.9589195327804,109.63290586831314,364.3863,933.1342,1014.924,1015.725,1201.0
MV301,54621.0,,,,1.012595888028414,0.13485647666177616,0.0,1.0,1.0,1.0,2.0
P301,54621.0,,,,1.0,0.0,1.0,1.0,1.0,1.0,1.0
P302,54621.0,,,,1.2975595466944947,0.4571888992852987,1.0,1.0,1.0,2.0,2.0
Normal/Attack,54621,1,Attack,54621,,,,,,,
