,count,unique,top,freq,mean,std,min,25%,50%,75%,max
Timestamp,1441719,946728, 22/12/2015 4:30:00 PM,2,,,,,,,
FIT101,1441719.0,,,,1.8061083983698538,1.1539317101409323,0.0,0.0,2.487269,2.588156,2.760145
LIT101,1441719.0,,,,593.1200480884278,123.93245828723865,120.6237,508.7943,526.8113,695.7159,1000.0
MV101,449919.0,,,,1.6653353159124198,0.4823229561038759,0.0,1.0,2.0,2.0,2.0
P101,1441719.0,,,,1.7309163574871387,0.4434836775618785,1.0,1.0,2.0,2.0,2.0
P102,1441719.0,,,,1.0021675513744357,0.046506500574289004,1.0,1.0,1.0,1.0,2.0
FIT301,1441719.0,,,,1.7966855127733259,0.8524114029316135,0.0,2.198379,2.210678,2.216058,2.376197
LIT301,1441719.0,,,,902.2586038925747,93.08453495986375,132.8185,834.6818,920.4371,968.1412,1201.0
MV301,1441719.0,,,,1.0060746927799384,0.11453487069128275,0.0,1.0,1.0,1.0,2.0
P301,1441719.0,,,,1.0026010616493228,0.050934251020967304,1.0,1.0,1.0,1.0,2.0
P302,1441719.0,,,,1.806525404742533,0.3950218784838634,1.0,2.0,2.0,2.0,2.0
Normal/Attack,1441719,2,Normal,1387098,,,,,,,
