,count,unique,top,freq,mean,std,min,25%,50%,75%,max
Timestamp,1387098,892103, 22/12/2015 4:30:00 PM,2,,,,,,,
FIT101,1387098.0,,,,1.8461958938421008,1.134499526544768,0.0,0.0,2.492073,2.590398,2.760145
LIT101,1387098.0,,,,587.8316852808526,120.43427199085922,120.6237,508.441,525.8692,677.6596,1000.0
MV101,395298.0,,,,1.7149138118583955,0.4633470253893742,0.0,1.0,2.0,2.0,2.0
P101,1387098.0,,,,1.7490162915669982,0.4335793146155744,1.0,1.0,2.0,2.0,2.0
P102,1387098.0,,,,1.0000692092411638,0.008318924277599634,1.0,1.0,1.0,1.0,2.0
FIT301,1387098.0,,,,1.841327105017216,0.8141591451369551,0.0,2.200045,2.211447,2.216187,2.376197
LIT301,1387098.0,,,,899.789597419648,91.49719573525773,132.8185,833.7606,918.3943,964.6565,1201.0
MV301,1387098.0,,,,1.0058179018353426,0.11365271920741182,0.0,1.0,1.0,1.0,2.0
P301,1387098.0,,,,1.0027034859829658,0.0519247444891266,1.0,1.0,1.0,1.0,2.0
P302,1387098.0,,,,1.8265674090799642,0.37862095910662247,1.0,2.0,2.0,2.0,2.0
Normal/Attack,1387098,1,Normal,1387098,,,,,,,
