source,column,count,min,p01,mean,median,p99,max,std
real_swat_normal,FIT101,1387098,0.0,0.0,1.8461958938421008,2.492073,2.669827,2.760145,1.134499526544768
real_swat_normal,LIT101,1387098,120.6237,302.678,587.8316852808526,525.8692,814.3377,1000.0,120.43427199085922
real_swat_normal,FIT301,1387098,0.0,0.0,1.841327105017216,2.211447,2.251033,2.376197,0.8141591451369551
real_swat_normal,LIT301,1387098,132.8185,613.7849,899.789597419648,918.3943,1012.521,1201.0,91.49719573525773
generated_minicps_normal,FIT101,53905,0.0,0.0,2.1767720369167987,2.669827,2.669827,2.669827,1.0359962196057957
generated_minicps_normal,LIT101,53905,302.678,302.678,556.2126820617898,555.3566391253177,813.4090980036299,813.4090980036299,150.50896362947125
generated_minicps_normal,FIT301,53905,0.0,0.0,1.835319550134496,2.251033,2.251033,2.251033,0.8734879369366979
generated_minicps_normal,LIT301,53905,613.7849,613.7849,823.0107099039467,824.8443354921111,1012.521,1012.521,143.96717001086432
generated_minicps_attack,FIT101,36095,0.0,0.0,2.180611436126888,2.669827,2.669827,2.669827,1.0328691152167389
generated_minicps_attack,LIT101,36095,302.678,307.7853109800363,547.8888998375731,550.7824385513975,807.4396970738152,814.3377,147.21981894276567
generated_minicps_attack,FIT301,36095,0.0,0.0,1.838556694085053,2.251033,2.251033,2.251033,0.8708513559244404
generated_minicps_attack,LIT301,36095,613.7849,613.7849,822.7887796014597,824.8443354921111,1012.521,1012.521,143.7437387713469
