timestamp,cycle,SENSOR1,SENSOR2,SENSOR3,ACTUATOR,S1_status,S2_status,S3_status,S1_consecutive,S2_consecutive,S3_consecutive,valve_exp,valve_act,valve_ok,reason,cascade,notes
2026-05-19 02:39:49.645538,1,4.1019,2.45,0.81667,1,NORMAL,NORMAL,NORMAL,0,0,0,1,1,YES,fill bottle,NO,
2026-05-19 02:39:50.647103,2,4.0468,2.45,0.90741,1,NORMAL,NORMAL,NORMAL,0,0,1,0,1,NO,bottle full,NO,
2026-05-19 02:39:51.648323,3,5.32361,2.45,0.90741,1,NORMAL,NORMAL,NORMAL,0,0,2,0,1,NO,bottle full,NO,SENSOR1-LL-tank sudden jump: 1.2768
2026-05-19 02:39:52.654422,4,3.9366,0.0,0.90741,0,NORMAL,NORMAL,NORMAL,0,0,3,0,0,YES,bottle full,NO,SENSOR1-LL-tank sudden jump: 1.387 | SENSOR2-FL sudden jump: 2.45
2026-05-19 02:39:53.667369,5,3.8815,0.0,0.0,0,NORMAL,NORMAL,NORMAL,0,0,0,1,0,NO,fill bottle,NO,SENSOR3-LL-bottle sudden jump: 0.9074
2026-05-19 02:39:54.680118,6,3.8264,2.45,0.06806,1,NORMAL,NORMAL,NORMAL,0,0,0,1,1,YES,fill bottle,NO,SENSOR2-FL sudden jump: 2.45
2026-05-19 02:39:55.681890,7,3.7713,2.45,0.1588,1,NORMAL,NORMAL,NORMAL,0,0,0,1,1,YES,fill bottle,NO,
2026-05-19 02:39:56.683200,8,5.17616,2.45,0.24954,1,NORMAL,NORMAL,NORMAL,0,0,0,1,1,YES,fill bottle,NO,SENSOR1-LL-tank sudden jump: 1.4049
2026-05-19 02:39:57.684939,9,3.6611,2.45,0.31759,1,NORMAL,NORMAL,NORMAL,0,0,0,1,1,YES,fill bottle,NO,SENSOR1-LL-tank sudden jump: 1.5151
2026-05-19 02:39:58.686419,10,3.606,2.45,0.40833,1,NORMAL,NORMAL,NORMAL,0,0,0,1,1,YES,fill bottle,NO,
2026-05-19 02:39:59.686876,11,3.5509,2.45,0.49907,1,NORMAL,NORMAL,NORMAL,0,0,0,1,1,YES,fill bottle,NO,
2026-05-19 02:40:00.687405,12,3.4958,2.45,0.58981,1,NORMAL,NORMAL,NORMAL,0,0,0,1,1,YES,fill bottle,NO,
2026-05-19 02:40:01.702575,13,4.96065,2.45,0.68056,1,NORMAL,NORMAL,NORMAL,0,0,0,1,1,YES,fill bottle,NO,SENSOR1-LL-tank sudden jump: 1.4648
2026-05-19 02:40:02.703946,14,4.92662,2.45,0.74861,1,NORMAL,NORMAL,NORMAL,0,0,0,1,1,YES,fill bottle,NO,
2026-05-19 02:40:03.705333,15,4.88125,2.45,0.83935,1,NORMAL,NORMAL,NORMAL,0,0,0,1,1,YES,fill bottle,NO,
2026-05-19 02:40:04.725633,16,4.83588,2.45,0.90741,1,NORMAL,NORMAL,NORMAL,0,0,1,0,1,NO,bottle full,NO,
2026-05-19 02:40:05.727419,17,4.79051,2.45,0.90741,1,NORMAL,NORMAL,NORMAL,0,0,2,0,1,NO,bottle full,NO,
2026-05-19 02:40:06.728353,18,4.79051,0.0,0.90741,0,NORMAL,NORMAL,NORMAL,0,0,3,0,0,YES,bottle full,NO,SENSOR2-FL sudden jump: 2.45
2026-05-19 02:40:07.731234,19,4.77917,2.45,0.02269,1,NORMAL,NORMAL,NORMAL,0,0,0,1,1,YES,fill bottle,NO,SENSOR2-FL sudden jump: 2.45 | SENSOR3-LL-bottle sudden jump: 0.8847
2026-05-19 02:40:08.732542,20,4.7338,2.45,0.11343,1,NORMAL,NORMAL,NORMAL,0,0,0,1,1,YES,fill bottle,NO,
2026-05-19 02:40:09.734205,21,4.68843,2.45,0.20417,1,NORMAL,NORMAL,NORMAL,0,0,0,1,1,YES,fill bottle,NO,
2026-05-19 02:40:10.735419,22,4.64306,2.45,0.29491,1,NORMAL,NORMAL,NORMAL,0,0,0,1,1,YES,fill bottle,NO,
2026-05-19 02:40:11.736401,23,4.59769,2.45,0.38565,1,NORMAL,NORMAL,NORMAL,0,0,0,1,1,YES,fill bottle,NO,
2026-05-19 02:40:12.737381,24,4.55231,2.45,0.4537,1,NORMAL,NORMAL,NORMAL,0,0,0,1,1,YES,fill bottle,NO,
2026-05-19 02:40:14.306060,25,4.51829,2.45,0.54444,1,NORMAL,NORMAL,NORMAL,0,0,0,1,1,YES,fill bottle,NO,
2026-05-19 02:40:15.307446,26,4.47292,2.45,0.63519,1,NORMAL,NORMAL,NORMAL,0,0,0,1,1,YES,fill bottle,NO,
2026-05-19 02:40:16.308374,27,4.42755,2.45,0.72593,1,NORMAL,NORMAL,NORMAL,0,0,0,1,1,YES,fill bottle,NO,
2026-05-19 02:40:17.309019,28,4.38218,2.45,0.81667,1,NORMAL,NORMAL,NORMAL,0,0,0,1,1,YES,fill bottle,NO,
2026-05-19 02:40:18.314907,29,4.34815,2.45,0.88472,1,NORMAL,NORMAL,NORMAL,0,0,0,1,1,YES,fill bottle,NO,
2026-05-19 02:40:19.316226,30,4.30278,2.45,0.90741,1,NORMAL,NORMAL,NORMAL,0,0,1,0,1,NO,bottle full,NO,
2026-05-19 02:40:20.318222,31,4.28009,0.0,0.90741,0,NORMAL,NORMAL,NORMAL,0,0,2,0,0,YES,bottle full,NO,SENSOR2-FL sudden jump: 2.45
2026-05-19 02:40:21.319486,32,4.28009,0.0,0.0,0,NORMAL,NORMAL,NORMAL,0,0,0,1,0,NO,fill bottle,NO,SENSOR3-LL-bottle sudden jump: 0.9074
2026-05-19 02:40:22.320973,33,4.28009,0.0,0.0,0,NORMAL,NORMAL,NORMAL,0,0,0,1,0,NO,fill bottle,NO,
2026-05-19 02:40:23.321909,34,4.26875,2.45,0.0,1,NORMAL,NORMAL,NORMAL,0,0,0,1,1,YES,fill bottle,NO,SENSOR2-FL sudden jump: 2.45
2026-05-19 02:40:24.327245,35,4.23472,2.45,0.09074,1,NORMAL,NORMAL,NORMAL,0,0,0,1,1,YES,fill bottle,NO,
2026-05-19 02:40:25.336842,36,4.18935,2.45,0.18148,1,NORMAL,NORMAL,NORMAL,0,0,0,1,1,YES,fill bottle,NO,
